기준년도,시도명,시군구명,읍면동명,면적(㎢),세대수,인구수
2024,경기도,여주시,북내면,65.800,2485,4674
2024,경기도,여주시,대신면,75.800,3545,6551
2024,경기도,여주시,세종대왕면,52.980,3004,5759
2024,경기도,여주시,금사면,41.780,1589,2861
2024,경기도,여주시,흥천면,44.150,2520,4936
2024,경기도,여주시,점동면,71.800,2329,4647
2024,경기도,여주시,가남읍,75.280,7337,14167
2024,경기도,여주시,,608.190,56400,114610
2024,경기도,양평군,개군면,32.340,2691,5102
2024,경기도,양평군,용문면,102.580,9160,18462
2024,경기도,양평군,지평면,77.690,3641,6638
2024,경기도,양평군,양동면,120.340,2465,4534
2024,경기도,양평군,청운면,96.740,2161,3726
2024,경기도,양평군,단월면,107.770,2142,3916
2024,경기도,양평군,서종면,92.730,5099,9884
2024,경기도,양평군,옥천면,66.680,4187,8021
2024,경기도,양평군,양서면,59.610,6815,13847
2024,경기도,양평군,강하면,41.310,2653,4847
2024,경기도,양평군,강상면,37.890,4771,10144
2024,경기도,양평군,양평읍,42.230,17316,37683
2024,경기도,양평군,,877.910,63101,126804
2024,경기도,의왕시,청계동,22.100,15384,36882
2024,경기도,의왕시,내손2동,2.510,7832,21215
2024,경기도,의왕시,내손1동,2.550,8159,19874
2024,경기도,의왕시,오전동,6.720,12577,33584
2024,경기도,의왕시,부곡동,11.270,12649,29232
2024,경기도,의왕시,고천동,8.880,6197,13701
2024,경기도,의왕시,,54.030,62798,154488
2024,경기도,포천시,선단동,23.910,7446,14088
2024,경기도,포천시,포천동,11.350,9501,19330
2024,경기도,포천시,화현면,43.590,1353,2413
2024,경기도,포천시,관인면,70.130,1413,2527
2024,경기도,포천시,영북면,81.720,4166,7418
2024,경기도,포천시,이동면,113.020,3165,5569
2024,경기도,포천시,일동면,83.410,4824,8827
2024,경기도,포천시,영중면,61.240,2651,4526
2024,경기도,포천시,창수면,71.770,1160,2025
2024,경기도,포천시,신북면,96.000,6211,11258
2024,경기도,포천시,가산면,35.900,4063,6967
2024,경기도,포천시,내촌면,52.740,2504,4187
2024,경기도,포천시,군내면,36.170,4993,9845
2024,경기도,포천시,소흘읍,46.280,19621,42483
2024,경기도,포천시,,827.230,73071,141463
2024,경기도,안성시,안성3동,8.270,11113,25063
2024,경기도,안성시,안성2동,10.140,12614,26330
2024,경기도,안성시,안성1동,6.550,5559,11315
2024,경기도,안성시,고삼면,27.790,1029,1833
2024,경기도,안성시,삼죽면,39.120,2226,3610
2024,경기도,안성시,죽산면,57.280,3732,6567
2024,경기도,안성시,일죽면,55.560,3795,7027
2024,경기도,안성시,원곡면,37.910,3519,6271
2024,경기도,안성시,양성면,53.150,2659,5013
2024,경기도,안성시,대덕면,31.180,8226,14424
2024,경기도,안성시,미양면,33.630,2946,5402
2024,경기도,안성시,서운면,36.350,1580,3002
2024,경기도,안성시,금광면,71.640,3625,6993
2024,경기도,안성시,보개면,53.000,2514,4945
2024,경기도,안성시,공도읍,31.930,29672,66154
2024,경기도,안성시,,553.510,94809,193949
2024,경기도,구리시,수택3동,9.350,9405,21021
2024,경기도,구리시,수택2동,0.620,11811,24190
2024,경기도,구리시,수택1동,1.260,8346,16630
2024,경기도,구리시,교문2동,1.150,7908,20865
2024,경기도,구리시,교문1동,7.560,7874,14696
2024,경기도,구리시,인창동,2.040,9824,23686
2024,경기도,구리시,동구동,7.380,13670,35388
2024,경기도,구리시,갈매동,3.970,12450,30406
2024,경기도,구리시,,33.340,81288,186882
2024,경기도,이천시,관고동,7.760,5160,10385
2024,경기도,이천시,중리동,22.060,8873,15301
2024,경기도,이천시,증포동,8.900,21264,56504
2024,경기도,이천시,창전동,1.130,8410,15664
2024,경기도,이천시,율면,36.770,1432,2505
2024,경기도,이천시,설성면,51.700,2454,4392
2024,경기도,이천시,모가면,40.990,2247,4070
2024,경기도,이천시,대월면,31.450,7871,14544
2024,경기도,이천시,마장면,51.390,8309,16191
2024,경기도,이천시,호법면,37.940,3185,5820
2024,경기도,이천시,백사면,32.570,5436,11798
2024,경기도,이천시,신둔면,36.460,6795,13842
2024,경기도,이천시,부발읍,41.860,17224,37083
2024,경기도,이천시,장호원읍,60.590,6955,14344
2024,경기도,이천시,,461.570,105615,222443
2024,경기도,양주시,옥정2동,4.250,22166,57602
2024,경기도,양주시,옥정1동,13.510,17650,39307
2024,경기도,양주시,회천3동,4.310,10932,24986
2024,경기도,양주시,회천2동,11.150,20117,45211
2024,경기도,양주시,회천1동,9.830,4299,8694
2024,경기도,양주시,양주2동,19.090,20423,49331
2024,경기도,양주시,양주1동,23.650,2410,4538
2024,경기도,양주시,장흥면,63.630,6271,11913
2024,경기도,양주시,광적면,48.450,5615,10681
2024,경기도,양주시,남면,36.520,3551,6151
2024,경기도,양주시,은현면,34.540,2957,5173
2024,경기도,양주시,백석읍,41.500,11945,25418
2024,경기도,양주시,,310.490,128336,289005
2024,경기도,오산시,대원2동,3.700,10317,24479
2024,경기도,오산시,대원1동,2.500,21511,45786
2024,경기도,오산시,초평동,6.470,9990,20948
2024,경기도,오산시,세마동,13.310,13341,31489
2024,경기도,오산시,신장2동,3.600,9852,22899
2024,경기도,오산시,신장1동,3.400,15371,34836
2024,경기도,오산시,남촌동,6.050,16661,28081
2024,경기도,오산시,중앙동,3.660,13993,33547
2024,경기도,오산시,,42.690,111036,242065
